%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1782457860185802936,233,1782457860185802936,steamvr_world,1.4136643409729004,0.7133567929267883,0.5639870166778564,0.4251846487553846,0.5534541887711113,-0.5104703764400023,0.5023210827465574
1782457860219137430,234,1782457860219137430,steamvr_world,1.4136643409729004,0.7133567929267883,0.5639870166778564,0.4251846487553846,0.5534541887711113,-0.5104703764400023,0.5023210827465574
1782457860252469062,235,1782457860252469062,steamvr_world,1.4222382307052612,0.7126747369766235,0.5612008571624756,0.4211814755916289,0.55525926545367,-0.5125289390038762,0.5016048239698957
1782457860285805225,236,1782457860285805225,steamvr_world,1.4222382307052612,0.7126747369766235,0.5612008571624756,0.4211814755916289,0.55525926545367,-0.5125289390038762,0.5016048239698957
1782457860319136619,237,1782457860319136619,steamvr_world,1.4222382307052612,0.7126747369766235,0.5612008571624756,0.4211814755916289,0.55525926545367,-0.5125289390038762,0.5016048239698957
1782457860352469444,238,1782457860352469444,steamvr_world,1.4320766925811768,0.7115538716316223,0.5593506097793579,0.4216369444380352,0.5583840573292446,-0.5097565193273236,0.5005774891151019
1782457860385802745,239,1782457860385802745,steamvr_world,1.4320766925811768,0.7115538716316223,0.5593506097793579,0.4216369444380352,0.5583840573292446,-0.5097565193273236,0.5005774891151019
1782457860419135093,240,1782457860419135093,steamvr_world,1.4320766925811768,0.7115538716316223,0.5593506097793579,0.4216369444380352,0.5583840573292446,-0.5097565193273236,0.5005774891151019
1782457860452467441,241,1782457860452467441,steamvr_world,1.442882776260376,0.7111339569091797,0.5583616495132446,0.4246245317874037,0.5612434196382184,-0.5040016607908402,0.5006816921330375
1782457860485801696,242,1782457860485801696,steamvr_world,1.442882776260376,0.7111339569091797,0.5583616495132446,0.4246245317874037,0.5612434196382184,-0.5040016607908402,0.5006816921330375
1782457860519135713,243,1782457860519135713,steamvr_world,1.442882776260376,0.7111339569091797,0.5583616495132446,0.4246245317874037,0.5612434196382184,-0.5040016607908402,0.5006816921330375
1782457860552470207,244,1782457860552470207,steamvr_world,1.4535506963729858,0.7120339274406433,0.5595552921295166,0.43007378217801595,0.5614302680056568,-0.49737745483438967,0.5024422986499619
1782457860585806131,245,1782457860585806131,steamvr_world,1.4535506963729858,0.7120339274406433,0.5595552921295166,0.43007378217801595,0.5614302680056568,-0.49737745483438967,0.5024422986499619
1782457860619137525,246,1782457860619137525,steamvr_world,1.4535506963729858,0.7120339274406433,0.5595552921295166,0.43007378217801595,0.5614302680056568,-0.49737745483438967,0.5024422986499619
1782457860652462959,247,1782457860652462959,steamvr_world,1.4627370834350586,0.7109901309013367,0.561225175857544,0.43442804269466606,0.5591611626379778,-0.49459654904854283,0.5039695661318239
1782457860685805082,248,1782457860685805082,steamvr_world,1.4627370834350586,0.7109901309013367,0.561225175857544,0.43442804269466606,0.5591611626379778,-0.49459654904854283,0.5039695661318239
1782457860719136238,249,1782457860719136238,steamvr_world,1.4627370834350586,0.7109901309013367,0.561225175857544,0.43442804269466606,0.5591611626379778,-0.49459654904854283,0.5039695661318239
1782457860752474069,250,1782457860752474069,steamvr_world,1.4704488515853882,0.7083421349525452,0.5616213083267212,0.4387690373171612,0.5569207157244123,-0.494183638214834,0.5030940071294132
1782457860785806179,251,1782457860785806179,steamvr_world,1.4704488515853882,0.7083421349525452,0.5616213083267212,0.4387690373171612,0.5569207157244123,-0.494183638214834,0.5030940071294132
1782457860819135189,252,1782457860819135189,steamvr_world,1.4704488515853882,0.7083421349525452,0.5616213083267212,0.4387690373171612,0.5569207157244123,-0.494183638214834,0.5030940071294132
1782457860852459192,253,1782457860852459192,steamvr_world,1.4768153429031372,0.7070856094360352,0.5615583658218384,0.4369704910816521,0.5567231896870746,-0.4934674175780125,0.5055749081762235
1782457860885803461,254,1782457860885803461,steamvr_world,1.4768153429031372,0.7070856094360352,0.5615583658218384,0.4369704910816521,0.5567231896870746,-0.4934674175780125,0.5055749081762235
1782457860919135570,255,1782457860919135570,steamvr_world,1.4768153429031372,0.7070856094360352,0.5615583658218384,0.4369704910816521,0.5567231896870746,-0.4934674175780125,0.5055749081762235
1782457860952473402,256,1782457860952473402,steamvr_world,1.4768153429031372,0.7070856094360352,0.5615583658218384,0.4369704910816521,0.5567231896870746,-0.4934674175780125,0.5055749081762235
1782457860985831975,257,1782457860985831975,steamvr_world,1.4829914569854736,0.7070635557174683,0.5600094795227051,0.43443919578691176,0.5552978253264927,-0.49512678196506155,0.5076971342568439
1782457861019161462,258,1782457861019161462,steamvr_world,1.4829914569854736,0.7070635557174683,0.5600094795227051,0.43443919578691176,0.5552978253264927,-0.49512678196506155,0.5076971342568439
1782457861052493572,259,1782457861052493572,steamvr_world,1.4829914569854736,0.7070635557174683,0.5600094795227051,0.43443919578691176,0.5552978253264927,-0.49512678196506155,0.5076971342568439
1782457861085831642,260,1782457861085831642,steamvr_world,1.4848265647888184,0.7081510424613953,0.5590120553970337,0.43245553199607206,0.5536783106770196,-0.49677240641981196,0.5095485426843113
1782457861119158506,261,1782457861119158506,steamvr_world,1.4848265647888184,0.7081510424613953,0.5590120553970337,0.43245553199607206,0.5536783106770196,-0.49677240641981196,0.5095485426843113
1782457861152489662,262,1782457861152489662,steamvr_world,1.4848265647888184,0.7081510424613953,0.5590120553970337,0.43245553199607206,0.5536783106770196,-0.49677240641981196,0.5095485426843113
1782457861185831308,263,1782457861185831308,steamvr_world,1.4854156970977783,0.7084875106811523,0.5586220026016235,0.43165687243258555,0.5517892898302356,-0.4990101249321511,0.5100880505614317
1782457861219161748,264,1782457861219161748,steamvr_world,1.4854156970977783,0.7084875106811523,0.5586220026016235,0.43165687243258555,0.5517892898302356,-0.4990101249321511,0.5100880505614317
1782457861252495765,265,1782457861252495765,steamvr_world,1.4854156970977783,0.7084875106811523,0.5586220026016235,0.43165687243258555,0.5517892898302356,-0.4990101249321511,0.5100880505614317
1782457861285837650,266,1782457861285837650,steamvr_world,1.4852439165115356,0.7084794640541077,0.5585206747055054,0.4303534362024284,0.5518261355956366,-0.49958901482576135,0.5105826596034904
1782457861319165945,267,1782457861319165945,steamvr_world,1.4852439165115356,0.7084794640541077,0.5585206747055054,0.4303534362024284,0.5518261355956366,-0.49958901482576135,0.5105826596034904
1782457861352497100,268,1782457861352497100,steamvr_world,1.4852439165115356,0.7084794640541077,0.5585206747055054,0.4303534362024284,0.5518261355956366,-0.49958901482576135,0.5105826596034904
1782457861385831356,269,1782457861385831356,steamvr_world,1.4840643405914307,0.7090147733688354,0.5586218237876892,0.43016209043398185,0.5526825277646382,-0.49885779256062684,0.5105325672850807
1782457861419162511,270,1782457861419162511,steamvr_world,1.4840643405914307,0.7090147733688354,0.5586218237876892,0.43016209043398185,0.5526825277646382,-0.49885779256062684,0.5105325672850807
1782457861452506303,271,1782457861452506303,steamvr_world,1.4840643405914307,0.7090147733688354,0.5586218237876892,0.43016209043398185,0.5526825277646382,-0.49885779256062684,0.5105325672850807
1782457861485847473,272,1782457861485847473,steamvr_world,1.481711745262146,0.7099127173423767,0.5594556331634521,0.4299886521105259,0.5537224063891387,-0.49817579224193964,0.5102177336617282
1782457861519147634,273,1782457861519147634,steamvr_world,1.481711745262146,0.7099127173423767,0.5594556331634521,0.4299886521105259,0.5537224063891387,-0.49817579224193964,0.5102177336617282
1782457861552494764,274,1782457861552494764,steamvr_world,1.481711745262146,0.7099127173423767,0.5594556331634521,0.4299886521105259,0.5537224063891387,-0.49817579224193964,0.5102177336617282
1782457861585831642,275,1782457861585831642,steamvr_world,1.478254795074463,0.7116488814353943,0.5603299736976624,0.42914482223791817,0.5552529966332362,-0.4964548240647527,0.5109417177516751
1782457861619153738,276,1782457861619153738,steamvr_world,1.478254795074463,0.7116488814353943,0.5603299736976624,0.42914482223791817,0.5552529966332362,-0.4964548240647527,0.5109417177516751
